Datum,Gemischtwarenladen,Feiertag,Sonderaktionen,Kundenfrequenz,Beleggröße,Produktverkäufe
28/03/2015,1,NEIN,NEIN,2250,24.54 €,"55,204.77 €"
29/03/2015,1,NEIN,NEIN,0,0.00 €,0.00 €
30/03/2015,1,NEIN,JA,1761,22.00 €,"38,732.64 €"
31/03/2015,1,NEIN,JA,2217,21.81 €,"48,353.02 €"
01/04/2015,1,NEIN,JA,1280,29.31 €,"37,519.38 €"
02/04/2015,1,NEIN,JA,1026,31.84 €,"32,673.42 €"
03/04/2015,1,JA,NEIN,0,0.00 €,0.00 €
04/04/2015,1,NEIN,JA,3724,20.91 €,"77,868.18 €"
05/04/2015,1,NEIN,JA,0,0.00 €,0.00 €
06/04/2015,1,JA,NEIN,0,0.00 €,0.00 €
07/04/2015,1,NEIN,JA,1113,39.89 €,"44,412.26 €"
08/04/2015,1,NEIN,JA,1847,25.58 €,"47,253.46 €"
09/04/2015,1,NEIN,JA,1577,29.86 €,"47,086.97 €"
10/04/2015,1,NEIN,JA,3184,25.77 €,"82,073.06 €"
11/04/2015,1,NEIN,JA,2355,37.08 €,"87,345.54 €"
12/04/2015,1,NEIN,NEIN,0,0.00 €,0.00 €
13/04/2015,1,NEIN,NEIN,1697,22.39 €,"38,002.69 €"
14/04/2015,1,NEIN,NEIN,1236,26.78 €,"33,094.43 €"
15/04/2015,1,NEIN,NEIN,883,31.42 €,"27,752.23 €"
16/04/2015,1,NEIN,NEIN,502,38.45 €,"19,299.49 €"
17/04/2015,1,NEIN,NEIN,2043,23.78 €,"48,565.52 €"
18/04/2015,1,NEIN,NEIN,1475,34.34 €,"50,653.11 €"
19/04/2015,1,NEIN,NEIN,0,0.00 €,0.00 €
20/04/2015,1,NEIN,NEIN,1055,28.10 €,"29,638.03 €"
21/04/2015,1,NEIN,NEIN,1067,33.87 €,"36,121.55 €"
22/04/2015,1,NEIN,NEIN,989,26.61 €,"26,306.04 €"
23/04/2015,1,NEIN,NEIN,936,21.34 €,"19,982.34 €"
24/04/2015,1,NEIN,NEIN,1398,37.85 €,"52,924.63 €"
25/04/2015,1,NEIN,NEIN,2713,22.70 €,"61,580.62 €"
26/04/2015,1,NEIN,NEIN,0,0.00 €,0.00 €
27/04/2015,1,NEIN,NEIN,2068,17.75 €,"36,704.83 €"
28/04/2015,1,NEIN,NEIN,1324,22.45 €,"29,728.35 €"
29/04/2015,1,NEIN,NEIN,703,26.59 €,"18,685.47 €"
30/04/2015,1,NEIN,NEIN,845,26.15 €,"22,100.74 €"
01/05/2015,1,JA,JA,0,0.00 €,0.00 €
02/05/2015,1,NEIN,NEIN,2981,25.62 €,"76,360.19 €"
03/05/2015,1,NEIN,NEIN,0,0.00 €,0.00 €
04/05/2015,1,NEIN,NEIN,953,32.48 €,"30,937.29 €"
05/05/2015,1,NEIN,NEIN,1290,20.58 €,"26,536.07 €"
06/05/2015,1,NEIN,NEIN,1511,23.58 €,"35,618.84 €"
07/05/2015,1,NEIN,NEIN,1124,24.59 €,"27,647.59 €"
08/05/2015,1,NEIN,NEIN,1828,33.57 €,"61,375.25 €"
09/05/2015,1,NEIN,NEIN,1609,28.06 €,"45,142.42 €"
10/05/2015,1,NEIN,NEIN,0,0.00 €,0.00 €
11/05/2015,1,NEIN,NEIN,1458,21.92 €,"31,954.84 €"
12/05/2015,1,NEIN,NEIN,1006,25.73 €,"25,890.10 €"
13/05/2015,1,NEIN,NEIN,2218,20.19 €,"44,789.20 €"
14/05/2015,1,JA,JA,0,0.00 €,0.00 €
15/05/2015,1,NEIN,NEIN,2731,22.14 €,"60,457.56 €"
16/05/2015,1,NEIN,NEIN,1695,28.95 €,"49,084.44 €"
17/05/2015,1,NEIN,NEIN,0,0.00 €,0.00 €
18/05/2015,1,NEIN,NEIN,1218,29.67 €,"36,134.25 €"
19/05/2015,1,NEIN,NEIN,759,32.86 €,"24,939.10 €"
20/05/2015,1,NEIN,NEIN,879,22.79 €,"20,022.38 €"
21/05/2015,1,NEIN,NEIN,1158,22.11 €,"25,608.77 €"
22/05/2015,1,NEIN,NEIN,1780,28.53 €,"50,792.20 €"
23/05/2015,1,NEIN,NEIN,2737,19.96 €,"54,623.82 €"
24/05/2015,1,NEIN,NEIN,0,0.00 €,0.00 €
25/05/2015,1,JA,JA,0,0.00 €,0.00 €
26/05/2015,1,NEIN,JA,1628,20.06 €,"32,655.55 €"
27/05/2015,1,NEIN,NEIN,1469,14.82 €,"21,766.76 €"
28/05/2015,1,NEIN,NEIN,957,25.70 €,"24,593.07 €"
29/05/2015,1,NEIN,NEIN,1990,28.58 €,"56,871.30 €"
30/05/2015,1,NEIN,NEIN,3134,19.51 €,"61,147.75 €"
31/05/2015,1,NEIN,NEIN,0,0.00 €,0.00 €
01/06/2015,1,NEIN,NEIN,1201,26.20 €,"31,461.11 €"
02/06/2015,1,NEIN,NEIN,761,33.88 €,"25,785.00 €"
03/06/2015,1,NEIN,NEIN,1404,30.15 €,"42,328.96 €"
04/06/2015,1,JA,JA,0,0.00 €,0.00 €
05/06/2015,1,NEIN,NEIN,2727,18.63 €,"50,803.07 €"
06/06/2015,1,NEIN,NEIN,1772,37.35 €,"66,205.78 €"
07/06/2015,1,NEIN,NEIN,0,0.00 €,0.00 €
08/06/2015,1,NEIN,NEIN,850,34.26 €,"29,133.17 €"
09/06/2015,1,NEIN,NEIN,1384,25.43 €,"35,186.96 €"
10/06/2015,1,NEIN,NEIN,960,32.04 €,"30,764.17 €"
11/06/2015,1,NEIN,NEIN,750,23.87 €,"17,888.14 €"
12/06/2015,1,NEIN,NEIN,2850,20.88 €,"59,518.01 €"
13/06/2015,1,NEIN,NEIN,2093,24.04 €,"50,321.71 €"
14/06/2015,1,NEIN,NEIN,0,0.00 €,0.00 €
15/06/2015,1,NEIN,NEIN,754,36.81 €,"27,757.92 €"
16/06/2015,1,NEIN,NEIN,1136,30.78 €,"34,970.02 €"
17/06/2015,1,NEIN,NEIN,631,39.99 €,"25,226.71 €"
18/06/2015,1,NEIN,NEIN,1073,23.04 €,"24,724.29 €"
19/06/2015,1,NEIN,NEIN,2130,27.89 €,"59,412.45 €"
20/06/2015,1,NEIN,NEIN,2303,25.95 €,"59,751.93 €"
21/06/2015,1,NEIN,NEIN,0,0.00 €,0.00 €
22/06/2015,1,NEIN,NEIN,955,28.27 €,"27,001.14 €"
23/06/2015,1,NEIN,NEIN,1815,19.46 €,"35,333.39 €"
24/06/2015,1,NEIN,NEIN,723,37.33 €,"26,986.57 €"
25/06/2015,1,NEIN,NEIN,739,29.84 €,"22,051.97 €"
26/06/2015,1,NEIN,NEIN,1427,40.49 €,"57,787.26 €"
27/06/2015,1,NEIN,NEIN,2025,28.24 €,"57,193.93 €"
28/06/2015,1,NEIN,NEIN,0,0.00 €,0.00 €
29/06/2015,1,NEIN,JA,1861,25.71 €,"47,855.07 €"
30/06/2015,1,NEIN,JA,1443,28.47 €,"41,097.31 €"
01/07/2015,1,NEIN,JA,1370,29.92 €,"40,994.77 €"
02/07/2015,1,NEIN,JA,992,29.20 €,"28,972.02 €"
03/07/2015,1,NEIN,JA,3323,25.04 €,"83,196.49 €"
04/07/2015,1,NEIN,JA,4267,16.29 €,"69,521.40 €"
05/07/2015,1,NEIN,JA,0,0.00 €,0.00 €
06/07/2015,1,NEIN,JA,2655,23.44 €,"62,231.55 €"
07/07/2015,1,NEIN,JA,999,24.35 €,"24,319.62 €"
08/07/2015,1,NEIN,JA,1276,29.98 €,"38,248.30 €"
09/07/2015,1,NEIN,JA,2213,15.59 €,"34,508.91 €"
10/07/2015,1,NEIN,JA,4495,19.65 €,"88,297.60 €"
11/07/2015,1,NEIN,JA,2713,34.41 €,"93,369.87 €"
12/07/2015,1,NEIN,JA,0,0.00 €,0.00 €
13/07/2015,1,NEIN,JA,2234,14.42 €,"32,222.91 €"
14/07/2015,1,NEIN,JA,959,30.43 €,"29,176.07 €"
15/07/2015,1,NEIN,JA,1644,23.25 €,"38,208.34 €"
16/07/2015,1,NEIN,JA,1041,35.84 €,"37,321.27 €"
17/07/2015,1,NEIN,JA,2771,32.95 €,"91,318.61 €"
18/07/2015,1,NEIN,JA,2939,29.80 €,"87,591.71 €"
19/07/2015,1,NEIN,JA,0,0.00 €,0.00 €
20/07/2015,1,NEIN,JA,1867,25.76 €,"48,096.63 €"
21/07/2015,1,NEIN,JA,944,34.24 €,"32,334.21 €"
22/07/2015,1,NEIN,JA,1125,29.91 €,"33,657.16 €"
23/07/2015,1,NEIN,JA,1106,27.51 €,"30,429.03 €"
24/07/2015,1,NEIN,JA,5153,21.25 €,"109,527.11 €"
25/07/2015,1,NEIN,JA,2905,30.86 €,"89,643.25 €"
26/07/2015,1,NEIN,JA,0,0.00 €,0.00 €
27/07/2015,1,NEIN,JA,1784,23.40 €,"41,756.65 €"
28/07/2015,1,NEIN,JA,1667,27.33 €,"45,558.00 €"
29/07/2015,1,NEIN,JA,1284,28.39 €,"36,442.80 €"
30/07/2015,1,NEIN,JA,1505,27.82 €,"41,887.39 €"
31/07/2015,1,NEIN,JA,3766,27.34 €,"102,950.85 €"
01/08/2015,1,NEIN,JA,3636,21.17 €,"76,977.98 €"
02/08/2015,1,NEIN,JA,0,0.00 €,0.00 €
03/08/2015,1,NEIN,JA,1298,36.04 €,"46,763.57 €"
04/08/2015,1,NEIN,JA,1892,26.20 €,"49,572.77 €"
05/08/2015,1,NEIN,JA,1567,30.49 €,"47,760.71 €"
06/08/2015,1,NEIN,JA,1151,28.05 €,"32,294.61 €"
07/08/2015,1,NEIN,JA,3758,21.25 €,"79,868.69 €"
08/08/2015,1,NEIN,JA,3555,27.78 €,"98,743.43 €"
09/08/2015,1,NEIN,JA,0,0.00 €,0.00 €
10/08/2015,1,NEIN,JA,2442,20.01 €,"48,847.90 €"
11/08/2015,1,NEIN,JA,2447,26.00 €,"63,614.47 €"
12/08/2015,1,NEIN,NEIN,1045,24.44 €,"25,544.61 €"
13/08/2015,1,NEIN,NEIN,922,27.24 €,"25,112.11 €"
14/08/2015,1,NEIN,NEIN,2808,24.65 €,"69,219.07 €"
15/08/2015,1,NEIN,NEIN,3292,12.16 €,"40,041.58 €"
16/08/2015,1,NEIN,NEIN,0,0.00 €,0.00 €
17/08/2015,1,NEIN,NEIN,1395,27.18 €,"37,925.65 €"
18/08/2015,1,NEIN,NEIN,1920,16.05 €,"30,824.73 €"
19/08/2015,1,NEIN,NEIN,885,33.92 €,"30,005.10 €"
20/08/2015,1,NEIN,NEIN,765,26.10 €,"19,975.80 €"
21/08/2015,1,NEIN,NEIN,2862,20.18 €,"57,751.44 €"
22/08/2015,1,NEIN,NEIN,2201,24.98 €,"54,967.82 €"
23/08/2015,1,NEIN,NEIN,0,0.00 €,0.00 €
24/08/2015,1,NEIN,NEIN,1063,28.71 €,"30,502.21 €"
25/08/2015,1,NEIN,NEIN,1161,23.79 €,"27,620.45 €"
26/08/2015,1,NEIN,NEIN,939,24.91 €,"23,373.78 €"
27/08/2015,1,NEIN,NEIN,602,32.21 €,"19,396.99 €"
28/08/2015,1,NEIN,NEIN,2565,21.15 €,"54,244.64 €"
29/08/2015,1,NEIN,NEIN,2243,31.29 €,"70,162.93 €"
30/08/2015,1,NEIN,NEIN,0,0.00 €,0.00 €
31/08/2015,1,NEIN,NEIN,746,39.76 €,"29,639.30 €"
01/09/2015,1,NEIN,NEIN,632,33.15 €,"20,936.94 €"
02/09/2015,1,NEIN,NEIN,1118,31.25 €,"34,952.70 €"
03/09/2015,1,NEIN,NEIN,506,37.70 €,"19,064.26 €"
04/09/2015,1,NEIN,NEIN,2803,24.99 €,"70,040.18 €"
05/09/2015,1,NEIN,NEIN,2019,27.39 €,"55,295.72 €"
06/09/2015,1,NEIN,NEIN,0,0.00 €,0.00 €
07/09/2015,1,NEIN,NEIN,769,32.49 €,"24,979.28 €"
08/09/2015,1,NEIN,NEIN,960,27.35 €,"26,271.25 €"
09/09/2015,1,NEIN,NEIN,818,28.97 €,"23,686.62 €"
10/09/2015,1,NEIN,NEIN,825,27.89 €,"23,006.59 €"
11/09/2015,1,NEIN,NEIN,2217,29.63 €,"65,700.63 €"
12/09/2015,1,NEIN,NEIN,2174,26.41 €,"57,430.20 €"
13/09/2015,1,NEIN,NEIN,0,0.00 €,0.00 €
14/09/2015,1,NEIN,NEIN,1600,22.37 €,"35,785.93 €"
15/09/2015,1,NEIN,NEIN,1243,28.06 €,"34,878.19 €"
16/09/2015,1,NEIN,NEIN,1503,18.42 €,"27,688.14 €"
17/09/2015,1,NEIN,NEIN,728,27.93 €,"20,321.01 €"
18/09/2015,1,NEIN,NEIN,2437,23.11 €,"56,326.89 €"
19/09/2015,1,NEIN,NEIN,2345,28.27 €,"66,309.04 €"
20/09/2015,1,NEIN,NEIN,0,0.00 €,0.00 €
21/09/2015,1,NEIN,NEIN,616,35.02 €,"21,573.40 €"
22/09/2015,1,NEIN,NEIN,1060,32.31 €,"34,246.83 €"
23/09/2015,1,NEIN,NEIN,1365,22.02 €,"30,061.36 €"
24/09/2015,1,NEIN,NEIN,1061,19.92 €,"21,130.50 €"
25/09/2015,1,NEIN,NEIN,1927,27.85 €,"53,652.12 €"
26/09/2015,1,NEIN,NEIN,2237,25.49 €,"57,029.53 €"
27/09/2015,1,NEIN,NEIN,0,0.00 €,0.00 €
28/09/2015,1,NEIN,NEIN,1037,26.24 €,"27,226.43 €"
29/09/2015,1,NEIN,NEIN,833,29.85 €,"24,879.32 €"
30/09/2015,1,NEIN,NEIN,851,29.09 €,"24,751.81 €"
01/10/2015,1,NEIN,NEIN,371,30.95 €,"11,486.88 €"
02/10/2015,1,NEIN,NEIN,2247,23.86 €,"53,598.26 €"
03/10/2015,1,JA,JA,0,0.00 €,0.00 €
04/10/2015,1,NEIN,NEIN,0,0.00 €,0.00 €
05/10/2015,1,NEIN,JA,1671,23.59 €,"39,418.51 €"
06/10/2015,1,NEIN,JA,2315,17.95 €,"41,564.63 €"
07/10/2015,1,NEIN,JA,1079,30.70 €,"33,134.06 €"
08/10/2015,1,NEIN,JA,936,32.35 €,"30,290.10 €"
09/10/2015,1,NEIN,JA,3228,30.46 €,"98,350.24 €"
10/10/2015,1,NEIN,JA,2891,29.74 €,"85,975.92 €"
11/10/2015,1,NEIN,JA,0,0.00 €,0.00 €
12/10/2015,1,NEIN,JA,1543,27.21 €,"41,994.14 €"
13/10/2015,1,NEIN,JA,2805,18.53 €,"51,968.79 €"
14/10/2015,1,NEIN,JA,1137,29.75 €,"33,817.12 €"
15/10/2015,1,NEIN,JA,1005,31.62 €,"31,793.84 €"
16/10/2015,1,NEIN,JA,4245,22.14 €,"93,996.46 €"
17/10/2015,1,NEIN,JA,2684,29.97 €,"80,422.89 €"
18/10/2015,1,NEIN,NEIN,0,0.00 €,0.00 €
19/10/2015,1,NEIN,NEIN,898,25.09 €,"22,520.77 €"
20/10/2015,1,NEIN,NEIN,769,27.76 €,"21,351.80 €"
21/10/2015,1,NEIN,NEIN,912,24.93 €,"22,726.16 €"
22/10/2015,1,NEIN,NEIN,1488,15.88 €,"23,627.22 €"
23/10/2015,1,NEIN,NEIN,1329,37.51 €,"49,853.60 €"
24/10/2015,1,NEIN,NEIN,2007,23.07 €,"46,309.39 €"
25/10/2015,1,NEIN,NEIN,0,0.00 €,0.00 €
26/10/2015,1,NEIN,NEIN,1544,24.36 €,"37,616.98 €"
27/10/2015,1,NEIN,NEIN,843,26.19 €,"22,081.13 €"
28/10/2015,1,NEIN,NEIN,673,26.91 €,"18,106.33 €"
29/10/2015,1,NEIN,NEIN,454,32.48 €,"14,748.80 €"
30/10/2015,1,NEIN,NEIN,3460,18.93 €,"65,484.76 €"
31/10/2015,1,NEIN,NEIN,2224,25.90 €,"57,601.30 €"
01/11/2015,1,JA,JA,0,0.00 €,0.00 €
02/11/2015,1,NEIN,NEIN,1723,23.65 €,"40,761.22 €"
03/11/2015,1,NEIN,NEIN,1104,23.12 €,"25,525.63 €"
04/11/2015,1,NEIN,NEIN,783,30.24 €,"23,687.88 €"
05/11/2015,1,NEIN,NEIN,808,25.76 €,"20,820.56 €"
06/11/2015,1,NEIN,NEIN,5394,11.69 €,"63,054.59 €"
07/11/2015,1,NEIN,NEIN,1881,25.22 €,"47,428.71 €"
08/11/2015,1,NEIN,NEIN,0,0.00 €,0.00 €
09/11/2015,1,NEIN,NEIN,790,35.73 €,"28,237.33 €"
10/11/2015,1,NEIN,NEIN,643,38.18 €,"24,551.06 €"
11/11/2015,1,NEIN,NEIN,859,28.23 €,"24,238.69 €"
12/11/2015,1,NEIN,NEIN,1054,30.08 €,"31,707.50 €"
13/11/2015,1,NEIN,NEIN,2307,24.93 €,"57,513.33 €"
14/11/2015,1,NEIN,NEIN,1564,31.77 €,"49,701.58 €"
15/11/2015,1,NEIN,NEIN,0,0.00 €,0.00 €
16/11/2015,1,NEIN,NEIN,1131,31.78 €,"35,944.59 €"
17/11/2015,1,NEIN,NEIN,725,23.76 €,"17,234.98 €"
18/11/2015,1,NEIN,NEIN,1413,20.24 €,"28,592.79 €"
19/11/2015,1,NEIN,NEIN,972,19.24 €,"18,697.51 €"
20/11/2015,1,NEIN,NEIN,2264,24.66 €,"55,825.60 €"
21/11/2015,1,NEIN,NEIN,2454,26.78 €,"65,700.97 €"
22/11/2015,1,NEIN,NEIN,0,0.00 €,0.00 €
23/11/2015,1,NEIN,NEIN,1294,25.56 €,"33,080.74 €"
24/11/2015,1,NEIN,NEIN,897,33.92 €,"30,420.92 €"
25/11/2015,1,NEIN,NEIN,989,31.97 €,"31,630.02 €"
26/11/2015,1,NEIN,NEIN,688,31.03 €,"21,360.87 €"
27/11/2015,1,NEIN,NEIN,2114,24.07 €,"50,879.38 €"
28/11/2015,1,NEIN,NEIN,2099,29.23 €,"61,348.82 €"
29/11/2015,1,NEIN,NEIN,0,0.00 €,0.00 €
30/11/2015,1,NEIN,NEIN,1375,21.23 €,"29,193.11 €"
01/12/2015,1,NEIN,NEIN,2023,13.53 €,"27,364.74 €"
02/12/2015,1,NEIN,NEIN,697,29.46 €,"20,526.91 €"
03/12/2015,1,NEIN,NEIN,792,23.97 €,"18,985.67 €"
04/12/2015,1,NEIN,NEIN,2779,24.53 €,"68,161.82 €"
05/12/2015,1,NEIN,NEIN,1636,36.07 €,"59,014.19 €"
06/12/2015,1,NEIN,NEIN,0,0.00 €,0.00 €
07/12/2015,1,NEIN,NEIN,1065,29.30 €,"31,207.74 €"
08/12/2015,1,NEIN,NEIN,1802,14.03 €,"25,274.89 €"
09/12/2015,1,NEIN,NEIN,1074,24.51 €,"26,317.01 €"
10/12/2015,1,NEIN,NEIN,798,19.47 €,"15,531.42 €"
11/12/2015,1,NEIN,NEIN,2426,29.29 €,"71,057.53 €"
12/12/2015,1,NEIN,NEIN,2161,29.53 €,"63,810.08 €"
13/12/2015,1,NEIN,NEIN,0,0.00 €,0.00 €
14/12/2015,1,NEIN,NEIN,1232,25.03 €,"30,833.65 €"
15/12/2015,1,NEIN,NEIN,850,30.57 €,"25,984.98 €"
16/12/2015,1,NEIN,NEIN,1184,26.71 €,"31,632.09 €"
17/12/2015,1,NEIN,NEIN,819,28.02 €,"22,952.69 €"
18/12/2015,1,NEIN,NEIN,2188,23.36 €,"51,120.69 €"
19/12/2015,1,NEIN,NEIN,3675,16.14 €,"59,333.40 €"
20/12/2015,1,NEIN,NEIN,0,0.00 €,0.00 €
21/12/2015,1,NEIN,NEIN,1746,21.99 €,"38,394.81 €"
22/12/2015,1,NEIN,NEIN,1452,22.65 €,"32,896.27 €"
23/12/2015,1,NEIN,JA,3118,14.49 €,"45,177.90 €"
24/12/2015,1,NEIN,JA,1743,25.55 €,"44,527.97 €"
25/12/2015,1,JA,NEIN,0,0.00 €,0.00 €
26/12/2015,1,JA,NEIN,0,0.00 €,0.00 €
27/12/2015,1,NEIN,JA,0,0.00 €,0.00 €
28/12/2015,1,NEIN,JA,1318,38.08 €,"50,185.11 €"
29/12/2015,1,NEIN,JA,1692,24.68 €,"41,751.00 €"
30/12/2015,1,NEIN,JA,2232,23.36 €,"52,141.08 €"
31/12/2015,1,NEIN,JA,1384,24.81 €,"34,335.70 €"
01/01/2016,1,JA,NEIN,0,0.00 €,0.00 €
02/01/2016,1,NEIN,JA,4215,24.55 €,"103,488.93 €"
03/01/2016,1,NEIN,JA,0,0.00 €,0.00 €
04/01/2016,1,NEIN,JA,1589,25.51 €,"40,554.29 €"
05/01/2016,1,NEIN,JA,2391,22.72 €,"54,315.95 €"
06/01/2016,1,NEIN,JA,1506,22.33 €,"33,631.95 €"
07/01/2016,1,NEIN,NEIN,1042,24.45 €,"25,479.91 €"
08/01/2016,1,NEIN,NEIN,1828,31.84 €,"58,209.87 €"
09/01/2016,1,NEIN,NEIN,2110,26.58 €,"56,093.21 €"
10/01/2016,1,NEIN,NEIN,0,0.00 €,0.00 €
11/01/2016,1,NEIN,NEIN,831,35.86 €,"29,785.08 €"
12/01/2016,1,NEIN,NEIN,772,34.34 €,"26,512.69 €"
13/01/2016,1,NEIN,NEIN,988,33.84 €,"33,417.10 €"
14/01/2016,1,NEIN,NEIN,914,26.16 €,"23,899.32 €"
15/01/2016,1,NEIN,NEIN,2381,24.96 €,"59,435.48 €"
16/01/2016,1,NEIN,NEIN,3192,22.02 €,"70,312.06 €"
